Colour Number,Colour Name,NCS Number,R,G,B,Hex
1196,LIGHT TANGERINE,1531-Y37R ,235,177,132,#EBB184
1191,,1337-Y35R ,235,174,119,#EBAE77
486,EARLY RAIN,0702-Y35R ,234,231,220,#EAE7DC
981,CREAM,0804-Y32R ,234,227,213,#EAE3D5
1107,LOFT,0905-Y16R ,234,227,209,#EAE3D1
2478,SAND BANK,S0804-Y90R ,234,226,221,#EAE2DD
1250,,1005-Y33R ,234,222,204,#EADECC
1775,FRESH PASTA,S1015-Y ,234,218,177,#EADAB1
2536,INNOCENCE,S0907-Y70R ,234,217,205,#EAD9CD
1006,SAND PEBBLE,S1010-Y30R ,234,212,186,#EAD4BA
708,ANTIQUE IVORY,1122-Y03R ,234,212,156,#EAD49C
1019,,S1010-Y40R ,234,210,185,#EAD2B9
1117,PEACH SKY,1212-Y31R ,234,208,177,#EAD0B1
1117,PEACH SKY,1212-Y31R ,234,208,177,#EAD0B1
2012,,S1010-Y70R ,234,206,192,#EACEC0
2161,,1113-Y66R ,234,205,190,#EACDBE
2540,,S1015-Y80R ,234,200,188,#EAC8BC
7001,COAST WHITE,S0502-G ,233,237,231,#E9EDE7
7001,KYSTHVIT,S0502-G ,233,237,231,#E9EDE7
7062,CHIRK CASTLE,0610-G48Y ,233,235,211,#E9EBD3
2450,MUSK LATHER,S0907-Y90R ,233,218,212,#E9DAD4
1012,WILD RICE,S1010-Y10R ,233,216,184,#E9D8B8
1038,KUTHBAN,S1010-Y20R ,233,214,184,#E9D6B8
10235,SUMMER SUN,S1030-Y ,233,206,140,#E9CE8C
2046,BLUSH PINK,1019-Y86R ,233,190,180,#E9BEB4
2789,IMPERIAL GARNET,1323-Y74R ,233,182,165,#E9B6A5
2129,,1328-Y67R ,233,174,151,#E9AE97
5001,SNOW-WHITE,S0502-B ,232,238,236,#E8EEEC
1281,PEARL BEIGE,1003-Y26R ,232,226,212,#E8E2D4
10399,,1003-Y45R ,232,225,214,#E8E1D6
2798,RAW,0904-Y59R ,232,224,214,#E8E0D6
1122,BEACH HONEY,1108-Y49R ,232,213,195,#E8D5C3
2015,ROMANCE PINK,S1010-Y90R ,232,210,203,#E8D2CB
2761,,S1010-Y60R ,232,208,191,#E8D0BF
1261,,1211-Y49R ,232,207,186,#E8CFBA
2802,,S1015-Y90R ,232,199,191,#E8C7BF
1262,HARMONY,1319-Y48R ,232,193,163,#E8C1A3
1177,NOBILE,1420-Y31R ,232,192,153,#E8C099
1177,NOBILE,1420-Y31R ,232,192,153,#E8C099
2031,CORAL,S1020-Y90R ,232,191,183,#E8BFB7
1162,,1439-Y29R ,232,173,113,#E8AD71
10408,BRIGHT SIENNA,1550-Y35R ,232,157,95,#E89D5F
6246,SHIRAA,S0502-B50G ,231,238,235,#E7EEEB
8018,MODERN WHITE,0807-G73Y ,231,229,208,#E7E5D0
1244,GOLDEN WHITE,1004-Y23R ,231,225,208,#E7E1D0
8181,PASTEL MINT,S0907-G90Y ,231,225,201,#E7E1C9
1039,,S1010-Y ,231,219,186,#E7DBBA
1248,RAW CITRINE,1107-Y40R ,231,214,194,#E7D6C2
2089,LIGHT VENUS,S1010-Y80R ,231,208,198,#E7D0C6
7067,ROCKERY,0706-G35Y ,230,234,219,#E6EADB
4493,SHY LILAC,S0804-R50B ,230,228,230,#E6E4E6
1432,ANEEQA,S1005-Y ,230,224,203,#E6E0CB
1875,SENSE,1003-Y21R ,230,223,206,#E6DFCE
2482,WASHED LIMESTONE,S1005-Y50R ,230,217,202,#E6D9CA
1128,CASHEW FRUIT,1208-Y14R ,230,217,189,#E6D9BD
1046,DESERT ROSE,1517-Y35R ,230,193,160,#E6C1A0
4520,PAIGE,S0603-R80B ,229,233,234,#E5E9EA
8082,SKY GREY,0903-G76Y ,229,229,219,#E5E5DB
3028,NUDE RED,0903-R32B ,229,226,227,#E5E2E3
1928,SUMMER SNOW,1102-Y10R ,229,226,216,#E5E2D8
1376,MIST,1002-Y24R ,229,224,212,#E5E0D4
1134,EVENING SHADOW,1104-Y44R ,229,220,206,#E5DCCE
